accession,gene_name,condition,condition_label,mean_abundance,cv_pct,log2fc,detected,hcp_risk,abundance_rank
G3GRS4,UNKNOWN,control,Control (Standard),20385.483573333335,6.85,,3,Medium,111
G3H7U2,SMC1A,control,Control (Standard),69661.86496333334,2.75,,3,Medium,66
G3HZ85,UNKNOWN,control,Control (Standard),31543.09788666667,4.73,,3,Medium,123
G3H043,UNKNOWN,control,Control (Standard),13387.496832333332,3.39,,3,Low,122
G3I4X8,UNKNOWN,control,Control (Standard),22573.696136666666,4.07,,3,Medium,93
G3HXX8,ALDH18A1,control,Control (Standard),16808.272177333332,8.04,,3,Low,114
G3HRD2,UNKNOWN,control,Control (Standard),2283.0037982999997,8.65,,3,Low,284
G3H8J8,C6ORF170,control,Control (Standard),9024.399059333335,35.26,,3,Medium,217
G3GTE2,UNKNOWN,control,Control (Standard),82167.83671666669,19.26,,3,High,49
G3GZG2,ALAS1,control,Control (Standard),9785.659833666667,32.82,,3,Medium,100
G3IKF2,LOC100762413,control,Control (Standard),3571.6987048333335,35.15,,3,Medium,178
G3H777,UNKNOWN,control,Control (Standard),2308.532049433333,27.87,,3,Medium,116
G3GU00,UNKNOWN,control,Control (Standard),12925.099463999999,19.35,,3,Medium,95
G3GYI4,UNKNOWN,control,Control (Standard),306.52104167333334,102.45,,3,Medium,393
G3HNY5,PGK1,control,Control (Standard),8678.886616333331,8.15,,3,Low,204
G3HLT2,RBPJL,control,Control (Standard),12045.647206,18.85,,3,Low,137
G3H2T4,LOC100774845,control,Control (Standard),277.15558712333336,25.32,,3,Medium,392
G3IJZ9,UNKNOWN,control,Control (Standard),717.8495382333334,8.03,,3,Medium,140
G3HJJ9,UNKNOWN,control,Control (Standard),565.8566624599999,30.1,,3,Medium,336
G3HDU1,HIST1H1D,control,Control (Standard),209.33061211999998,13.63,,3,Medium,450
G3IIB1,SIAE,control,Control (Standard),1178.2759392333335,4.16,,3,Medium,181
G3H2X9,ANXA,control,Control (Standard),1446.7091304666667,13.52,,3,Medium,267
G3HMB9,LOC100766018,control,Control (Standard),169.45504580999997,8.75,,3,Medium,517
G3I8Z3,UNKNOWN,control,Control (Standard),74.87445389666668,35.37,,3,Medium,194
G3GS65,EOGT,control,Control (Standard),26613.897650666666,14.0,,3,Medium,102
G3I780,PDP2,control,Control (Standard),25971.419133666666,21.46,,3,Medium,105
G3IIK1,LOC100758628,control,Control (Standard),2628.416127066667,34.28,,3,Low,291
G3IIZ7,KANK1,control,Control (Standard),728.7733387333334,28.76,,3,Medium,120
G3I311,UNKNOWN,control,Control (Standard),1979.0988941000003,17.18,,3,Trace,432
G3I2F3,UNKNOWN,control,Control (Standard),3524.374110866667,31.43,,3,Medium,159
G3HIQ2,UNKNOWN,control,Control (Standard),535.4017840666667,7.79,,3,Medium,243
G3IMC8,UNKNOWN,control,Control (Standard),2544.8651399333335,40.43,,3,Low,285
G3HN21,CCL2,control,Control (Standard),397.5137053333333,7.24,,3,Medium,487
G3H0N5,UNKNOWN,control,Control (Standard),962.4485390666665,48.19,,3,Medium,374
G3GUZ6,NKX2-6,control,Control (Standard),9682.708722666668,2.64,,3,Medium,238
G3IKJ7,MARK2,control,Control (Standard),49325.972879999994,7.57,,3,Medium,90
